Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district,sunrise_time,sunset_time,daylight_hours
01/03/2014,Friday,RICHMOND,3,0,0,2,4,0,0,9,18,725,1703,9.633333333333333
01/03/2014,Friday,SOUTHERN,2,5,0,8,23,0,0,22,60,725,1703,9.633333333333333
01/03/2014,Friday,TARAVAL,2,0,0,7,3,0,0,10,22,725,1703,9.633333333333333
01/03/2014,Friday,TENDERLOIN,0,3,0,9,5,0,0,8,25,725,1703,9.633333333333333
01/03/2015,Saturday,BAYVIEW,0,2,0,12,6,0,0,16,36,725,1703,9.633333333333333
01/03/2015,Saturday,CENTRAL,1,0,0,1,8,0,0,29,39,725,1703,9.633333333333333
01/03/2015,Saturday,INGLESIDE,2,2,0,13,11,0,0,11,39,725,1703,9.633333333333333
01/03/2015,Saturday,MISSION,1,2,0,11,11,0,0,20,45,725,1703,9.633333333333333
01/03/2015,Saturday,NORTHERN,0,0,0,7,9,0,0,32,48,725,1703,9.633333333333333
01/03/2015,Saturday,PARK,1,2,0,3,7,1,0,7,21,725,1703,9.633333333333333
01/03/2015,Saturday,RICHMOND,2,0,0,3,1,0,0,7,13,725,1703,9.633333333333333
01/03/2015,Saturday,SOUTHERN,1,3,1,6,19,1,0,50,81,725,1703,9.633333333333333
01/03/2015,Saturday,TARAVAL,2,1,0,6,5,0,0,8,22,725,1703,9.633333333333333
01/03/2015,Saturday,TENDERLOIN,0,0,0,3,4,0,0,12,19,725,1703,9.633333333333333
01/03/2016,Sunday,BAYVIEW,0,0,0,5,10,0,0,8,23,725,1703,9.633333333333333
